date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:31	555/555	---MCZ	200	added ('OK')	gzip	date:Thu,%2029%20Jan%202026%2006:59:16%20GMT	https://digits.com/robots.txt		(from )
22:59:33	235705/235705	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2006:59:16%20GMT	https://digits.com/	C:/My%20Web%20Sites/ai/digits.com/index.html	(from )
22:59:34	336860/336860	---MC-	200	added ('OK')	application/javascript	date:Thu,%2029%20Jan%202026%2006:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-PSLGVCT8	C:/My%20Web%20Sites/ai/www.googletagmanager.com/gtm55aa.js	(from https://digits.com/)
22:59:35	155773/155773	---M-Z	200	added ('OK')	text/css	etag:%2221e51bac94f85439be073f73675bc56d%22	https://ram.digitscpu.com/_astro-assets/booked.0_EVPCIz.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/booked.0_EVPCIz.css	(from https://digits.com/)
22:59:36	8598/8598	---M-Z	200	added ('OK')	text/css	etag:%225acec29061d31f5939ab8fd46c8f8db2%22	https://ram.digitscpu.com/_astro-assets/index.BW-MCg4d.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/index.BW-MCg4d.css	(from https://digits.com/)
22:59:37	17021/17021	---M-Z	200	added ('OK')	text/css	etag:%228d7a2eb93c99e2443d7ac0a5ff384e0e%22	https://ram.digitscpu.com/_astro-assets/index.CGhjID6V.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/index.CGhjID6V.css	(from https://digits.com/)
22:59:37	9375/9375	---M-Z	200	added ('OK')	text/css	etag:%229598952d9effd422e56b381b3273ff3b%22	https://ram.digitscpu.com/_astro-assets/_slug_.JmnZcPdZ.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/_slug_.JmnZcPdZ.css	(from https://digits.com/)
22:59:39	29349/29349	---M-Z	200	added ('OK')	text/css	etag:%224fdaa1577a2907991952066f13c55b2b%22	https://ram.digitscpu.com/_astro-assets/component-library.JwKRlfro.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/component-library.JwKRlfro.css	(from https://digits.com/)
22:59:39	9518/9518	---M-Z	200	added ('OK')	text/css	etag:%226ed2bd23b2a77d7a648b49d163f76943%22	https://ram.digitscpu.com/_astro-assets/_slug_.BMK2fe_p.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/_slug_.BMK2fe_p.css	(from https://digits.com/)
22:59:40	14699/14699	---M-Z	200	added ('OK')	text/css	etag:%2207566a5c3e72e1e42e27092a0ad20d73%22	https://ram.digitscpu.com/_astro-assets/_slug_.qPFyvrl0.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/_slug_.qPFyvrl0.css	(from https://digits.com/)
22:59:41	18200/18200	---M-Z	200	added ('OK')	text/css	etag:%22cb7ad776b89dd527a05ac31adaf38edb%22	https://ram.digitscpu.com/_astro-assets/_slug_.C2iB4JcZ.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/_slug_.C2iB4JcZ.css	(from https://digits.com/)
22:59:41	8700/8700	---M-Z	200	added ('OK')	text/css	etag:%22afbbc0f923effddd8a29046b82cb10cb%22	https://ram.digitscpu.com/_astro-assets/index.C-na2DEE.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/index.C-na2DEE.css	(from https://digits.com/)
22:59:41	11661/11661	---M-Z	200	added ('OK')	text/css	etag:%2225a7aa4eb6e0503122144d02bb32d52b%22	https://ram.digitscpu.com/_astro-assets/_slug_.CLGFpSjd.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/_slug_.CLGFpSjd.css	(from https://digits.com/)
22:59:42	9121/9121	---M-Z	200	added ('OK')	text/css	etag:%2242af13d1323c94d44488cc11eeb5f041%22	https://ram.digitscpu.com/_astro-assets/_slug_.BCOt1NAM.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/_slug_.BCOt1NAM.css	(from https://digits.com/)
22:59:42	15858/15858	---M-Z	200	added ('OK')	text/css	etag:%2200fe83d4e4949c1d0f484ad9fa8926a4%22	https://ram.digitscpu.com/_astro-assets/index.CGiEcBiJ.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/index.CGiEcBiJ.css	(from https://digits.com/)
22:59:42	10318/10318	---M-Z	200	added ('OK')	text/css	etag:%229a996009744733a14a11023b661fedcc%22	https://ram.digitscpu.com/_astro-assets/component-library.BGhx_IQW.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/component-library.BGhx_IQW.css	(from https://digits.com/)
22:59:43	21525/21525	---M-Z	200	added ('OK')	text/css	etag:%22f7304937e3923930a1fdc25b364a8f15%22	https://ram.digitscpu.com/_astro-assets/_slug_.Ctc1eOEO.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/_slug_.Ctc1eOEO.css	(from https://digits.com/)
22:59:43	24397/24397	---M-Z	200	added ('OK')	text/css	etag:%22b727447b3921f163a924d2656f580902%22	https://ram.digitscpu.com/_astro-assets/component-library.-hzYtEr1.css	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/component-library.-hzYtEr1.css	(from https://digits.com/)
22:59:43	2531/2531	---M-Z	200	added ('OK')	text/javascript	etag:%228922534ed096b4032abff92d0acefa51%22	https://ram.digitscpu.com/_astro-assets/page.DeRjBIrH.js	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/page.DeRjBIrH.js	(from https://digits.com/)
22:59:44	24926/24926	---MCZ	200	added ('OK')	text/xml	date:Thu,%2029%20Jan%202026%2006:59:29%20GMT	https://digits.com/sitemap.xml	C:/My%20Web%20Sites/ai/digits.com/sitemap.xml	(from https://digits.com/)
22:59:44	1026/1026	---MCZ	200	added ('OK')	image/png	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/favicon-32.png	C:/My%20Web%20Sites/ai/digits.com/favicon/favicon-32.png	(from https://digits.com/)
22:59:45	1642/1642	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/favicon.ico?v=2	C:/My%20Web%20Sites/ai/digits.com/favicon/favicon5e1f.ico	(from https://digits.com/)
22:59:45	1885/1885	---MCZ	200	added ('OK')	image/png	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/favicon-64.png	C:/My%20Web%20Sites/ai/digits.com/favicon/favicon-64.png	(from https://digits.com/)
22:59:46	3582/3582	---MCZ	200	added ('OK')	image/png	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/favicon-128.png	C:/My%20Web%20Sites/ai/digits.com/favicon/favicon-128.png	(from https://digits.com/)
22:59:46	6354/6354	---MCZ	200	added ('OK')	image/png	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/favicon-256.png	C:/My%20Web%20Sites/ai/digits.com/favicon/favicon-256.png	(from https://digits.com/)
22:59:47	12431/12431	---MCZ	200	added ('OK')	image/png	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/favicon-512.png	C:/My%20Web%20Sites/ai/digits.com/favicon/favicon-512.png	(from https://digits.com/)
22:59:47	14683/14683	---MCZ	200	added ('OK')	image/png	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/favicon-1024.png	C:/My%20Web%20Sites/ai/digits.com/favicon/favicon-1024.png	(from https://digits.com/)
22:59:47	2154/2154	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/favicon.svg?v=2	C:/My%20Web%20Sites/ai/digits.com/favicon/favicon5e1f.svg	(from https://digits.com/)
22:59:48	3464/3464	---MCZ	200	added ('OK')	image/png	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/favicon-180x180.png?v=2	C:/My%20Web%20Sites/ai/digits.com/favicon/favicon-180x1805e1f.png	(from https://digits.com/)
22:59:48	1089/1089	---MCZ	200	added ('OK')	application/json	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/favicon/manifest.json	C:/My%20Web%20Sites/ai/digits.com/favicon/manifest.json	(from https://digits.com/)
22:59:49	92007/92007	---MCZ	200	added ('OK')	text/xml	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/blog/rss.xml	C:/My%20Web%20Sites/ai/digits.com/blog/rss.xml	(from https://digits.com/)
22:59:49	11488/11488	---MCZ	200	added ('OK')	text/xml	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/between-two-founders/rss.xml	C:/My%20Web%20Sites/ai/digits.com/between-two-founders/rss.xml	(from https://digits.com/)
22:59:49	52809/52809	---MCZ	200	added ('OK')	text/xml	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/customers/rss.xml	C:/My%20Web%20Sites/ai/digits.com/customers/rss.xml	(from https://digits.com/)
22:59:50	10616/10616	---MCZ	200	added ('OK')	text/xml	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/ai-native-accounting/rss.xml	C:/My%20Web%20Sites/ai/digits.com/ai-native-accounting/rss.xml	(from https://digits.com/)
22:59:50	8967/8967	---MCZ	200	added ('OK')	gzip	date:Thu,%2029%20Jan%202026%2006:59:35%20GMT	https://digits.com/llms.txt	C:/My%20Web%20Sites/ai/digits.com/llms.txt	(from https://digits.com/)
22:59:50	49/49	---M-Z	200	added ('OK')	text/javascript	etag:%22cd83641f8e3f64be8049ebaa7534061b%22	https://ram.digitscpu.com/_astro-assets/HeadTags.astro_astro_type_script_index_0_lang.BrVAIR5Q.js	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/HeadTags.astro_astro_type_script_index_0_lang.BrVAIR5Q.js	(from https://digits.com/)
22:59:51	131/131	---M-Z	200	added ('OK')	text/javascript	etag:%220ad1aa71e0bc9c4928086ea3605d9b2e%22	https://ram.digitscpu.com/_astro-assets/Header.astro_astro_type_script_index_1_lang.CuY9SSl3.js	C:/My%20Web%20Sites/ai/ram.digitscpu.com/_astro-assets/Header.astro_astro_type_script_index_1_lang.CuY9SSl3.js	(from https://digits.com/)
22:59:51	82827/82827	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/blog/announcing-ask-digits/	C:/My%20Web%20Sites/ai/digits.com/blog/announcing-ask-digits/index.html	(from https://digits.com/)
22:59:52	143563/143563	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2006:59:36%20GMT	https://digits.com/security/	C:/My%20Web%20Sites/ai/digits.com/security/index.html	(from https://digits.com/)
23:00:10	170983/170983	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/agl/	C:/My%20Web%20Sites/ai/digits.com/agl/index.html	(from https://digits.com/)
23:00:11	160429/160429	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/api/	C:/My%20Web%20Sites/ai/digits.com/api/index.html	(from https://digits.com/)
23:00:12	174268/174268	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jan%202026%2002:24:39%20GMT	https://digits.com/integrations/	C:/My%20Web%20Sites/ai/digits.com/integrations/index.html	(from https://digits.com/)
